Chevrolet Chevelle Malibu,130,3504,12,70,USA
Buick Skylark 320,165,3693,11.5,70,USA
Plymouth Satellite,150,3436,11,70,USA
Amc Rebel Sst,150,3433,12,70,USA
Ford Torino,140,3449,10.5,70,USA
Ford Galaxie 500,198,4341,10,70,USA
Chevrolet Impala,220,4354,9,70,USA
Plymouth Fury Iii,215,4312,8.5,70,USA
Pontiac Catalina,225,4425,10,70,USA
Amc Ambassador Dpl,190,3850,8.5,70,USA
Dodge Challenger Se,170,3563,10,70,USA
Plymouth 'Cuda 340,160,3609,8,70,USA
Chevrolet Monte Carlo,150,3761,9.5,70,USA
Buick Estate Wagon (Sw),225,3086,10,70,USA
Toyota Corona Mark Ii,95,2372,15,70,Japan
Plymouth Duster,95,2833,15.5,70,USA
Amc Hornet,97,2774,15.5,70,USA
Ford Maverick,85,2587,16,70,USA
Datsun Pl510,88,2130,14.5,70,Japan
Volkswagen 1131 Deluxe Sedan,46,1835,20.5,70,Europe
Peugeot 504,87,2672,17.5,70,Europe
Audi 100 Ls,90,2430,14.5,70,Europe
Saab 99e,95,2375,17.5,70,Europe
Bmw 2002,113,2234,12.5,70,Europe
Amc Gremlin,90,2648,15,70,USA
Ford F250,215,4615,14,70,USA
Chevy C20,200,4376,15,70,USA
Dodge D200,210,4382,13.5,70,USA
Hi 1200d,193,4732,18.5,70,USA
Datsun Pl510,88,2130,14.5,71,Japan
Chevrolet Vega 2300,90,2264,15.5,71,USA
Toyota Corona,95,2228,14,71,Japan
Ford Pinto,,2046,19,71,USA
Amc Gremlin,100,2634,13,71,USA
Plymouth Satellite Custom,105,3439,15.5,71,USA
Chevrolet Chevelle Malibu,100,3329,15.5,71,USA
Ford Torino 500,88,3302,15.5,71,USA
Amc Matador,100,3288,15.5,71,USA
Chevrolet Impala,165,4209,12,71,USA
Pontiac Catalina Brougham,175,4464,11.5,71,USA
Ford Galaxie 500,153,4154,13.5,71,USA
Plymouth Fury Iii,150,4096,13,71,USA
Dodge Monaco (Sw),180,4955,11.5,71,USA
Ford Country Squire (Sw),170,4746,12,71,USA
Pontiac Safari (Sw),175,5140,12,71,USA
Amc Hornet Sportabout (Sw),110,2962,13.5,71,USA
Chevrolet Vega (Sw),72,2408,19,71,USA
Pontiac Firebird,100,3282,15,71,USA
Ford Mustang,88,3139,14.5,71,USA
Mercury Capri 2000,86,2220,14,71,USA
Opel 1900,90,2123,14,71,Europe
Peugeot 304,70,2074,19.5,71,Europe
Fiat 124b,76,2065,14.5,71,Europe
Toyota Corolla 1200,65,1773,19,71,Japan
Datsun 1200,69,1613,18,71,Japan
Volkswagen Model 111,60,1834,19,71,Europe
Plymouth Cricket,70,1955,20.5,71,USA
Toyota Corona Hardtop,95,2278,15.5,72,Japan
Dodge Colt Hardtop,80,2126,17,72,USA
Volkswagen Type 3,54,2254,23.5,72,Europe
Chevrolet Vega,90,2408,19.5,72,USA
Ford Pinto Runabout,86,2226,16.5,72,USA
Chevrolet Impala,165,4274,12,72,USA
Pontiac Catalina,175,4385,12,72,USA
Plymouth Fury Iii,150,4135,13.5,72,USA
Ford Galaxie 500,153,4129,13,72,USA
Amc Ambassador Sst,150,3672,11.5,72,USA
Mercury Marquis,208,4633,11,72,USA
Buick Lesabre Custom,155,4502,13.5,72,USA
Oldsmobile Delta 88 Royale,160,4456,13.5,72,USA
Chrysler Newport Royal,190,4422,12.5,72,USA
Mazda Rx2 Coupe,97,2330,13.5,72,Japan
Amc Matador (Sw),150,3892,12.5,72,USA
Chevrolet Chevelle Concours (Sw),130,4098,14,72,USA
Ford Gran Torino (Sw),140,4294,16,72,USA
Plymouth Satellite Custom (Sw),150,4077,14,72,USA
Volvo 145e (Sw),112,2933,14.5,72,Europe
Volkswagen 411 (Sw),76,2511,18,72,Europe
Peugeot 504 (Sw),87,2979,19.5,72,Europe
Renault 12 (Sw),69,2189,18,72,Europe
Ford Pinto (Sw),86,2395,16,72,USA
Datsun 510 (Sw),92,2288,17,72,Japan
Toyouta Corona Mark Ii (Sw),97,2506,14.5,72,Japan
Dodge Colt (Sw),80,2164,15,72,USA
Toyota Corolla 1600 (Sw),88,2100,16.5,72,Japan
Buick Century 350,175,4100,13,73,USA
Amc Matador,150,3672,11.5,73,USA
Chevrolet Malibu,145,3988,13,73,USA
Ford Gran Torino,137,4042,14.5,73,USA
Dodge Coronet Custom,150,3777,12.5,73,USA
Mercury Marquis Brougham,198,4952,11.5,73,USA
Chevrolet Caprice Classic,150,4464,12,73,USA
Ford Ltd,158,4363,13,73,USA
Plymouth Fury Gran Sedan,150,4237,14.5,73,USA
Chrysler New Yorker Brougham,215,4735,11,73,USA
Buick Electra 225 Custom,225,4951,11,73,USA
Amc Ambassador Brougham,175,3821,11,73,USA
Plymouth Valiant,105,3121,16.5,73,USA
Chevrolet Nova Custom,100,3278,18,73,USA
Amc Hornet,100,2945,16,73,USA
Ford Maverick,88,3021,16.5,73,USA
Plymouth Duster,95,2904,16,73,USA
Volkswagen Super Beetle,46,1950,21,73,Europe
Chevrolet Impala,150,4997,14,73,USA
Ford Country,167,4906,12.5,73,USA
Plymouth Custom Suburb,170,4654,13,73,USA
Oldsmobile Vista Cruiser,180,4499,12.5,73,USA
Amc Gremlin,100,2789,15,73,USA
Toyota Carina,88,2279,19,73,Japan
Chevrolet Vega,72,2401,19.5,73,USA
Datsun 610,94,2379,16.5,73,Japan
Maxda Rx3,90,2124,13.5,73,Japan
Ford Pinto,85,2310,18.5,73,USA
Mercury Capri V6,107,2472,14,73,USA
Fiat 124 Sport Coupe,90,2265,15.5,73,Europe
Chevrolet Monte Carlo S,145,4082,13,73,USA
Pontiac Grand Prix,230,4278,9.5,73,USA
Fiat 128,49,1867,19.5,73,Europe
Opel Manta,75,2158,15.5,73,Europe
Audi 100ls,91,2582,14,73,Europe
Volvo 144ea,112,2868,15.5,73,Europe
Dodge Dart Custom,150,3399,11,73,USA
Saab 99le,110,2660,14,73,Europe
Toyota Mark Ii,122,2807,13.5,73,Japan
Oldsmobile Omega,180,3664,11,73,USA
Plymouth Duster,95,3102,16.5,74,USA
Ford Maverick,,2875,17,74,USA
Amc Hornet,100,2901,16,74,USA
Chevrolet Nova,100,3336,17,74,USA
Datsun B210,67,1950,19,74,Japan
Ford Pinto,80,2451,16.5,74,USA
Toyota Corolla 1200,65,1836,21,74,Japan
Chevrolet Vega,75,2542,17,74,USA
Chevrolet Chevelle Malibu Classic,100,3781,17,74,USA
Amc Matador,110,3632,18,74,USA
Plymouth Satellite Sebring,105,3613,16.5,74,USA
Ford Gran Torino,140,4141,14,74,USA
Buick Century Luxus (Sw),150,4699,14.5,74,USA
Dodge Coronet Custom (Sw),150,4457,13.5,74,USA
Ford Gran Torino (Sw),140,4638,16,74,USA
Amc Matador (Sw),150,4257,15.5,74,USA
Audi Fox,83,2219,16.5,74,Europe
Volkswagen Dasher,67,1963,15.5,74,Europe
Opel Manta,78,2300,14.5,74,Europe
Toyota Corona,52,1649,16.5,74,Japan
Datsun 710,61,2003,19,74,Japan
Dodge Colt,75,2125,14.5,74,USA
Fiat 128,75,2108,15.5,74,Europe
Fiat 124 Tc,75,2246,14,74,Europe
Honda Civic,97,2489,15,74,Japan
Subaru,93,2391,15.5,74,Japan
Fiat X1.9,67,2000,16,74,Europe
Plymouth Valiant Custom,95,3264,16,75,USA
Chevrolet Nova,105,3459,16,75,USA
Mercury Monarch,72,3432,21,75,USA
Ford Maverick,72,3158,19.5,75,USA
Pontiac Catalina,170,4668,11.5,75,USA
Chevrolet Bel Air,145,4440,14,75,USA
Plymouth Grand Fury,150,4498,14.5,75,USA
Ford Ltd,148,4657,13.5,75,USA
Buick Century,110,3907,21,75,USA
Chevroelt Chevelle Malibu,105,3897,18.5,75,USA
Amc Matador,110,3730,19,75,USA
Plymouth Fury,95,3785,19,75,USA
Buick Skyhawk,110,3039,15,75,USA
Chevrolet Monza 2+2,110,3221,13.5,75,USA
Ford Mustang Ii,129,3169,12,75,USA
Toyota Corolla,75,2171,16,75,Japan
Ford Pinto,83,2639,17,75,USA
Amc Gremlin,100,2914,16,75,USA
Pontiac Astro,78,2592,18.5,75,USA
Toyota Corona,96,2702,13.5,75,Japan
Volkswagen Dasher,71,2223,16.5,75,Europe
Datsun 710,97,2545,17,75,Japan
Ford Pinto,97,2984,14.5,75,USA
Volkswagen Rabbit,70,1937,14,75,Europe
Amc Pacer,90,3211,17,75,USA
Audi 100ls,95,2694,15,75,Europe
Peugeot 504,88,2957,17,75,Europe
Volvo 244dl,98,2945,14.5,75,Europe
Saab 99le,115,2671,13.5,75,Europe
Honda Civic Cvcc,53,1795,17.5,75,Japan
Fiat 131,86,2464,15.5,76,Europe
Opel 1900,81,2220,16.9,76,Europe
Capri Ii,92,2572,14.9,76,USA
Dodge Colt,79,2255,17.7,76,USA
Renault 12tl,83,2202,15.3,76,Europe
Chevrolet Chevelle Malibu Classic,140,4215,13,76,USA
Dodge Coronet Brougham,150,4190,13,76,USA
Amc Matador,120,3962,13.9,76,USA
Ford Gran Torino,152,4215,12.8,76,USA
Plymouth Valiant,100,3233,15.4,76,USA
Chevrolet Nova,105,3353,14.5,76,USA
Ford Maverick,81,3012,17.6,76,USA
Amc Hornet,90,3085,17.6,76,USA
Chevrolet Chevette,52,2035,22.2,76,USA
Chevrolet Woody,60,2164,22.1,76,USA
Vw Rabbit,70,1937,14.2,76,Europe
Honda Civic,53,1795,17.4,76,Japan
Dodge Aspen Se,100,3651,17.7,76,USA
Ford Granada Ghia,78,3574,21,76,USA
Pontiac Ventura Sj,110,3645,16.2,76,USA
Amc Pacer D/L,95,3193,17.8,76,USA
Volkswagen Rabbit,71,1825,12.2,76,Europe
Datsun B-210,70,1990,17,76,Japan
Toyota Corolla,75,2155,16.4,76,Japan
Ford Pinto,72,2565,13.6,76,USA
Volvo 245,102,3150,15.7,76,Europe
Plymouth Volare Premier V8,150,3940,13.2,76,USA
Peugeot 504,88,3270,21.9,76,Europe
Toyota Mark Ii,108,2930,15.5,76,Japan
Mercedes-Benz 280s,120,3820,16.7,76,Europe
Cadillac Seville,180,4380,12.1,76,USA
Chevy C10,145,4055,12,76,USA
Ford F108,130,3870,15,76,USA
Dodge D100,150,3755,14,76,USA
Honda Accord Cvcc,68,2045,18.5,77,Japan
Buick Opel Isuzu Deluxe,80,2155,14.8,77,USA
Renault 5 Gtl,58,1825,18.6,77,Europe
Plymouth Arrow Gs,96,2300,15.5,77,USA
Datsun F-10 Hatchback,70,1945,16.8,77,Japan
Chevrolet Caprice Classic,145,3880,12.5,77,USA
Oldsmobile Cutlass Supreme,110,4060,19,77,USA
Dodge Monaco Brougham,145,4140,13.7,77,USA
Mercury Cougar Brougham,130,4295,14.9,77,USA
Chevrolet Concours,110,3520,16.4,77,USA
Buick Skylark,105,3425,16.9,77,USA
Plymouth Volare Custom,100,3630,17.7,77,USA
Ford Granada,98,3525,19,77,USA
Pontiac Grand Prix Lj,180,4220,11.1,77,USA
Chevrolet Monte Carlo Landau,170,4165,11.4,77,USA
Chrysler Cordoba,190,4325,12.2,77,USA
Ford Thunderbird,149,4335,14.5,77,USA
Volkswagen Rabbit Custom,78,1940,14.5,77,Europe
Pontiac Sunbird Coupe,88,2740,16,77,USA
Toyota Corolla Liftback,75,2265,18.2,77,Japan
Ford Mustang Ii 2+2,89,2755,15.8,77,USA
Chevrolet Chevette,63,2051,17,77,USA
Dodge Colt M/M,83,2075,15.9,77,USA
Subaru Dl,67,1985,16.4,77,Japan
Volkswagen Dasher,78,2190,14.1,77,Europe
Datsun 810,97,2815,14.5,77,Japan
Bmw 320i,110,2600,12.8,77,Europe
Mazda Rx-4,110,2720,13.5,77,Japan
Volkswagen Rabbit Custom Diesel,48,1985,21.5,78,Europe
Ford Fiesta,66,1800,14.4,78,USA
Mazda Glc Deluxe,52,1985,19.4,78,Japan
Datsun B210 Gx,70,2070,18.6,78,Japan
Honda Civic Cvcc,60,1800,16.4,78,Japan
Oldsmobile Cutlass Salon Brougham,110,3365,15.5,78,USA
Dodge Diplomat,140,3735,13.2,78,USA
Mercury Monarch Ghia,139,3570,12.8,78,USA
Pontiac Phoenix Lj,105,3535,19.2,78,USA
Chevrolet Malibu,95,3155,18.2,78,USA
Ford Fairmont (Auto),85,2965,15.8,78,USA
Ford Fairmont (Man),88,2720,15.4,78,USA
Plymouth Volare,100,3430,17.2,78,USA
Amc Concord,90,3210,17.2,78,USA
Buick Century Special,105,3380,15.8,78,USA
Mercury Zephyr,85,3070,16.7,78,USA
Dodge Aspen,110,3620,18.7,78,USA
Amc Concord D/L,120,3410,15.1,78,USA
Chevrolet Monte Carlo Landau,145,3425,13.2,78,USA
Buick Regal Sport Coupe (Turbo),165,3445,13.4,78,USA
Ford Futura,139,3205,11.2,78,USA
Dodge Magnum Xe,140,4080,13.7,78,USA
Chevrolet Chevette,68,2155,16.5,78,USA
Toyota Corona,95,2560,14.2,78,Japan
Datsun 510,97,2300,14.7,78,Japan
Dodge Omni,75,2230,14.5,78,USA
Toyota Celica Gt Liftback,95,2515,14.8,78,Japan
Plymouth Sapporo,105,2745,16.7,78,USA
Oldsmobile Starfire Sx,85,2855,17.6,78,USA
Datsun 200-Sx,97,2405,14.9,78,Japan
Audi 5000,103,2830,15.9,78,Europe
Volvo 264gl,125,3140,13.6,78,Europe
Saab 99gle,115,2795,15.7,78,Europe
Peugeot 604sl,133,3410,15.8,78,Europe
Volkswagen Scirocco,71,1990,14.9,78,Europe
Honda Accord Lx,68,2135,16.6,78,Japan
Pontiac Lemans V6,115,3245,15.4,79,USA
Mercury Zephyr 6,85,2990,18.2,79,USA
Ford Fairmont 4,88,2890,17.3,79,USA
Amc Concord Dl 6,90,3265,18.2,79,USA
Dodge Aspen 6,110,3360,16.6,79,USA
Chevrolet Caprice Classic,130,3840,15.4,79,USA
Ford Ltd Landau,129,3725,13.4,79,USA
Mercury Grand Marquis,138,3955,13.2,79,USA
Dodge St. Regis,135,3830,15.2,79,USA
Buick Estate Wagon (Sw),155,4360,14.9,79,USA
Ford Country Squire (Sw),142,4054,14.3,79,USA
Chevrolet Malibu Classic (Sw),125,3605,15,79,USA
Chrysler Lebaron Town @ Country (Sw),150,3940,13,79,USA
Vw Rabbit Custom,71,1925,14,79,Europe
Maxda Glc Deluxe,65,1975,15.2,79,Japan
Dodge Colt Hatchback Custom,80,1915,14.4,79,USA
Amc Spirit Dl,80,2670,15,79,USA
Mercedes Benz 300d,77,3530,20.1,79,Europe
Cadillac Eldorado,125,3900,17.4,79,USA
Peugeot 504,71,3190,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,90,3420,22.2,79,USA
Plymouth Horizon,70,2200,13.2,79,USA
Plymouth Horizon Tc3,70,2150,14.9,79,USA
Datsun 210,65,2020,19.2,79,Japan
Fiat Strada Custom,69,2130,14.7,79,Europe
Buick Skylark Limited,90,2670,16,79,USA
Chevrolet Citation,115,2595,11.3,79,USA
Oldsmobile Omega Brougham,115,2700,12.9,79,USA
Pontiac Phoenix,90,2556,13.2,79,USA
Vw Rabbit,76,2144,14.7,80,Europe
Toyota Corolla Tercel,60,1968,18.8,80,Japan
Chevrolet Chevette,70,2120,15.5,80,USA
Datsun 310,65,2019,16.4,80,Japan
Chevrolet Citation,90,2678,16.5,80,USA
Ford Fairmont,88,2870,18.1,80,USA
Amc Concord,90,3003,20.1,80,USA
Dodge Aspen,90,3381,18.7,80,USA
Audi 4000,78,2188,15.8,80,Europe
Toyota Corona Liftback,90,2711,15.5,80,Japan
Mazda 626,75,2542,17.5,80,Japan
Datsun 510 Hatchback,92,2434,15,80,Japan
Toyota Corolla,75,2265,15.2,80,Japan
Mazda Glc,65,2110,17.9,80,Japan
Dodge Colt,105,2800,14.4,80,USA
Datsun 210,65,2110,19.2,80,Japan
Vw Rabbit C (Diesel),48,2085,21.7,80,Europe
Vw Dasher (Diesel),48,2335,23.7,80,Europe
Audi 5000s (Diesel),67,2950,19.9,80,Europe
Mercedes-Benz 240d,67,3250,21.8,80,Europe
Honda Civic 1500 Gl,67,1850,13.8,80,Japan
Renault Lecar Deluxe,,1835,17.3,80,Europe
Subaru Dl,67,2145,18,80,Japan
Vokswagen Rabbit,62,1845,15.3,80,Europe
Datsun 280-Zx,132,2910,11.4,80,Japan
Mazda Rx-7 Gs,100,2420,12.5,80,Japan
Triumph Tr7 Coupe,88,2500,15.1,80,Europe
Ford Mustang Cobra,,2905,14.3,80,USA
Honda Accord,72,2290,17,80,Japan
Plymouth Reliant,84,2490,15.7,81,USA
Buick Skylark,84,2635,16.4,81,USA
Dodge Aries Wagon (Sw),92,2620,14.4,81,USA
Chevrolet Citation,110,2725,12.6,81,USA
Plymouth Reliant,84,2385,12.9,81,USA
Toyota Starlet,58,1755,16.9,81,Japan
Plymouth Champ,64,1875,16.4,81,USA
Honda Civic 1300,60,1760,16.1,81,Japan
Subaru,67,2065,17.8,81,Japan
Datsun 210 Mpg,65,1975,19.4,81,Japan
Toyota Tercel,62,2050,17.3,81,Japan
Mazda Glc 4,68,1985,16,81,Japan
Plymouth Horizon 4,63,2215,14.9,81,USA
Ford Escort 4w,65,2045,16.2,81,USA
Ford Escort 2h,65,2380,20.7,81,USA
Volkswagen Jetta,74,2190,14.2,81,Europe
Renault 18i,,2320,15.8,81,Europe
Honda Prelude,75,2210,14.4,81,Japan
Toyota Corolla,75,2350,16.8,81,Japan
Datsun 200sx,100,2615,14.8,81,Japan
Mazda 626,74,2635,18.3,81,Japan
Peugeot 505s Turbo Diesel,80,3230,20.4,81,Europe
Volvo Diesel,76,3160,19.6,81,Europe
Toyota Cressida,116,2900,12.6,81,Japan
Datsun 810 Maxima,120,2930,13.8,81,Japan
Buick Century,110,3415,15.8,81,USA
Oldsmobile Cutlass Ls,105,3725,19,81,USA
Ford Granada Gl,88,3060,17.1,81,USA
Chrysler Lebaron Salon,85,3465,16.6,81,USA
Chevrolet Cavalier,88,2605,19.6,82,USA
Chevrolet Cavalier Wagon,88,2640,18.6,82,USA
Chevrolet Cavalier 2-Door,88,2395,18,82,USA
Pontiac J2000 Se Hatchback,85,2575,16.2,82,USA
Dodge Aries Se,84,2525,16,82,USA
Pontiac Phoenix,90,2735,18,82,USA
Ford Fairmont Futura,92,2865,16.4,82,USA
Amc Concord Dl,,3035,20.5,82,USA
Volkswagen Rabbit L,74,1980,15.3,82,Europe
Mazda Glc Custom L,68,2025,18.2,82,Japan
Mazda Glc Custom,68,1970,17.6,82,Japan
Plymouth Horizon Miser,63,2125,14.7,82,USA
Mercury Lynx L,70,2125,17.3,82,USA
Nissan Stanza Xe,88,2160,14.5,82,Japan
Honda Accord,75,2205,14.5,82,Japan
Toyota Corolla,70,2245,16.9,82,Japan
Honda Civic,67,1965,15,82,Japan
Honda Civic (Auto),67,1965,15.7,82,Japan
Datsun 310 Gx,67,1995,16.2,82,Japan
Buick Century Limited,110,2945,16.4,82,USA
Oldsmobile Cutlass Ciera (Diesel),85,3015,17,82,USA
Chrysler Lebaron Medallion,92,2585,14.5,82,USA
Ford Granada L,112,2835,14.7,82,USA
Toyota Celica Gt,96,2665,13.9,82,Japan
Dodge Charger 2.2,84,2370,13,82,USA
Chevrolet Camaro,90,2950,17.3,82,USA
Ford Mustang Gl,86,2790,15.6,82,USA
Vw Pickup,52,2130,24.6,82,Europe
Dodge Rampage,84,2295,11.6,82,USA
Ford Ranger,79,2625,18.6,82,USA
Chevy S-10,82,2720,19.4,82,USA
